Puzzle,Solution Count,Givens,Singles,Hidden Singles,Naked Pairs,Hidden Pairs,Pointing Pairs/Triples,Box/Line Intersections,Guesses,Backtracks,Difficulty
...3.2..4.3....4,1,5,11,0,0,0,0,0,0,0,Simple,
..1.4.........42,1,4,12,0,0,0,0,0,0,0,Simple,
.31...2......13.,1,5,11,0,0,0,0,0,0,0,Simple,
..1..1.434......,1,5,11,0,0,0,0,0,0,0,Simple,
.13...2..31.....,1,5,11,0,0,0,0,0,0,0,Simple,
.......4.1..4..3,1,4,12,0,0,0,0,0,0,0,Simple,
.41..3.....4....,1,4,12,0,0,0,0,0,0,0,Simple,
.3....1..43....4,1,5,11,0,0,0,0,0,0,0,Simple,
.42...4.....1...,1,4,12,0,0,0,0,0,0,0,Simple,
2....42...4..3..,1,5,11,0,0,0,0,0,0,0,Simple,
1....3.....23..1,1,5,11,0,0,0,0,0,0,0,Simple,
4..2........2.34,1,5,11,0,0,0,0,0,0,0,Simple,
.21......1...32.,1,5,11,0,0,0,0,0,0,0,Simple,
.....1.32....3..,1,4,12,0,0,0,0,0,0,0,Simple,
......1323......,1,4,12,0,0,0,0,0,0,0,Simple,
4..2.2...4....3.,1,5,11,0,0,0,0,0,0,0,Simple,
1.3..3.4......4.,1,5,11,0,0,0,0,0,0,0,Simple,
.....21.3..1....,1,4,12,0,0,0,0,0,0,0,Simple,
.143.........3.1,1,5,11,0,0,0,0,0,0,0,Simple,
2.....1....4.4..,1,4,12,0,0,0,0,0,0,0,Simple,
.12...4.2.......,1,4,12,0,0,0,0,0,0,0,Simple,
.12.3.....1.....,1,4,12,0,0,0,0,0,0,0,Simple,
.....4....2.2.1.,1,4,12,0,0,0,0,0,0,0,Simple,
......13.1....2.,1,4,12,0,0,0,0,0,0,0,Simple,
..4....3....4.2.,1,4,12,0,0,0,0,0,0,0,Simple,
..1.2....3.1..3.,1,5,11,0,0,0,0,0,0,0,Simple,
2...3.....4...2.,1,4,12,0,0,0,0,0,0,0,Simple,
.4.3...14....3..,1,5,11,0,0,0,0,0,0,0,Simple,
.2.31.2..1......,1,5,11,0,0,0,0,0,0,0,Simple,
..31.....314....,1,5,11,0,0,0,0,0,0,0,Simple,
.1....1....34...,1,4,12,0,0,0,0,0,0,0,Simple,
4.2......3..2...,1,4,12,0,0,0,0,0,0,0,Simple,
....1.2..3..2...,1,4,12,0,0,0,0,0,0,0,Simple,
