Puzzle,Solution,
.3618..4..5...21..4.1.7.2.86.2........42................7416......83...6........3,236189547758642139491573268682351974974268351513794682327416895149835726865927413,
......2..86.1....4......396...3.4.....9621...4..89...1.1..............6.5.4...839,935467218862139754147582396651374982789621543423895671316958427298743165574216839,
298...7..4.7.2..6.............74...9....1958....2.6..4.........729...1...51...8..,298634751437521968516978432183745629642319587975286314864157293729863145351492876,
9.8.5.7.3.26.....5..17.69.....38....8....1......5.769......5..9...9...5....61..2.,948152763726893415351746982267389541895461237413527698684235179132974856579618324,
..8.......6..7....57...9..4.4..1..9...2....8.71..5....6.1.......9.824..6.8.1.....,428531769169472835573689214845213697932746581716958342651397428397824156284165973,
.........3...8..4.....7.1...43.......2...46.9.8.9....4.6..2..1...4.67...7....19.6,478195362319286745256473198943658271521734689687912534865329417194567823732841956,
8.....2...64...79..7.2.4..........15..96...4.518.......27.....69..4............21,891763254264158793375294168642987315739615842518342679127539486986421537453876921,
.2....3....5.4..8.63..581........6....1....5.24......37...6.54..8.....67.1.4.....,824716395175943286639258174357184629961327458248695713793862541482531967516479832,
.4..36.89.8...137.....2..6...1.............4.4..387.2......4..8...1.....1..9784.6,542736189986541372317829564761492853238615947459387621693254718874163295125978436,
28.6.15..1.....7...56.8..........2......4.......357...7...683.....5..8.4..2.13.5.,287631549134925786956784132413896275578142963629357418745268391361579824892413657,
8......4......2.......3....2.1.5.8....8.1....3......76.....4..2.645..7.1..2.8.53.,825761349137492658496835217241657893678319425359248176583174962964523781712986534,
835.6....7..8.........9..6347..3.9....26.5.4.........2.4.3.......7.....5268......,835461297796823514124597863471238956982675341653149782549312678317986425268754139,
...195....3.....9...17.2.......7......5.......62..8..5.1.823.6..8.......9......32,628195743537684291491732658849571326375269184162348975714823569283956417956417832,
..9...8........17.....5...2.7..6..15.....19.6.2.......1..6.54...8.94.....47.2.5..,239716854465289173718354692974862315853471926621593748192635487586947231347128569,
............58...98..34...........3.9.28.56....6..2.1.....542..6...134..4.92....6,154729368263581749897346521548167932912835674376492815781654293625913487439278156,
2...7.69.147..9..86..2.........24.8.981..............7.9...8...8.6..5..1....4....,238471695147569328659283714765124983981357462324896157492718536876935241513642879,
..3...6.....41.82......8.....6........49..1.39..56.24..2.......8.9.4.....6....5..,183752694697413825542698731716324958254987163938561247325176489879245316461839572,
2..5.46......9.3....6.8.2......4..864....7...7..6.25.3..3.....28.......9...3..8..,239574618187296354546183297321945786465837921798612543973458162852761439614329875,
.2.96..7....2..1..7........1..8...9....67.....67.4.5....6.84.5.......2........941,521968473649237185783415629134852796952671834867349512296184357415793268378526941,
.813...4..5...71...498....3...7.45.....1.3..........8.51....2.9...27......4.98...,781362945352947168649815723896724531425183697137659482518436279963271854274598316,
4....7....6...1....1.5...7.62..9.7.5......9...7......4...6...18...8.24.9..1....5.,438267591567981342912543876623194785145728963879356124394675218756812439281439657,
..9.18........4.9.........246........3268.9..8.5..2.3695..43....24.6....6..2....8,249718653586324791713596482467931825132685974895472136958143267324867519671259348,
..61..73.4.......819..4.....5...4.7.64..5......9..7.6.8....5....3..16.......9..8.,586129734472563918193748652258634179647951823319287465821475396935816247764392581,
..4.786.5...9...........41..6..5....9....4......69.84...7.....1.8...15.2..6......,294178635613945728875326419462853197938714256751692843547289361389461572126537984,
.3..81...........7.........15.6.79....6..8.3..98...5...2...68.1.1.39....5.......9,632781495985234617741569283153647928276958134498123576329476851814395762567812349,
8...19.7.5.........21....39......5.19..8.2...63..5.2...6............7812..8...3..,843219675596734128721586439482673591915842763637951284164328957359467812278195346,
7..53...1.28..1.........5...4.35.1.213.....98.........4.1....853.......4.829.....,764539821528461739913287546849356172135724698276198453491673285357812964682945317,
.3.......5.4.......26.4..........4.8.528....9..926.53...3......76.5........9.82.7,931752846574683912826149753617395428352814679489267531293476185768521394145938267,
2....9....9...5...6......4.5....471..6.13.5..7.......9...9.247...95....1.4...1...,231469857497825136685713942523694718968137524714258369156982473379546281842371695,
1.3.......9.1......6........4.5.3..15.12...8......43..6.93..25..124....9.8..6....,153629748297148536864735912948573621531296487726814395679381254312457869485962173,
..63.9..7.....8.9.29.7.......1...5........9.......628.97.....6..6.5..8.2.1..62...,486359127157628394293714658721983546638245971549176283972831465364597812815462739,
.1..97...7.94.....5...1.3.9.6...9..1......8.34..8........1....68.....43.......7..,613597284729483165584216379268739541197654823435821697342178956871965432956342718,
